time,mode,state,x,y,theta,error
0.03,Line_Following,Line Straight,0.0,0.002,1.571,0.002
0.06,Line_Following,Line Straight,0.0,0.004,1.571,0.004
0.1,Line_Following,Line Straight,0.0,0.006,1.571,0.006
0.13,Line_Following,Line Straight,0.0,0.008,1.571,0.008
0.16,Line_Following,Line Straight,0.0,0.01,1.571,0.01
0.19,Line_Following,Line Straight,0.0,0.012,1.571,0.012
0.22,Line_Following,Line Straight,0.0,0.014,1.571,0.014
0.26,Line_Following,Line Straight,0.0,0.016,1.571,0.016
0.29,Line_Following,Line Straight,0.0,0.018,1.571,0.018
0.32,Line_Following,Line Straight,0.0,0.02,1.571,0.02
0.35,Line_Following,Line Straight,0.0,0.022,1.571,0.022
0.38,Line_Following,Line Straight,0.0,0.024,1.571,0.024
0.42,Line_Following,Line Straight,0.0,0.026,1.571,0.026
0.45,Line_Following,Line Straight,0.0,0.028,1.571,0.028
0.48,Line_Following,Line Straight,0.0,0.03,1.571,0.03
0.51,Line_Following,Line Straight,0.0,0.031,1.571,0.031
0.54,Line_Following,Line Straight,0.0,0.033,1.571,0.033
0.58,Line_Following,Line Straight,0.0,0.035,1.571,0.035
0.61,Line_Following,Line Straight,0.0,0.037,1.571,0.037
0.64,Line_Following,Line Straight,0.0,0.039,1.571,0.039
0.67,Line_Following,Line Straight,0.0,0.041,1.571,0.041
0.7,Line_Following,Line Straight,0.0,0.043,1.571,0.043
0.74,Line_Following,Line Straight,0.0,0.045,1.571,0.045
0.77,Line_Following,Line Straight,0.0,0.047,1.571,0.047
0.8,Line_Following,Line Straight,0.0,0.049,1.571,0.049
0.83,Line_Following,Line Straight,0.0,0.051,1.571,0.051
0.86,Line_Following,Line Straight,0.0,0.053,1.571,0.053
0.9,Line_Following,Line Straight,0.0,0.055,1.571,0.055
0.93,Line_Following,Line Straight,0.0,0.057,1.571,0.057
0.96,Line_Following,Line Straight,0.0,0.059,1.571,0.059
0.99,Line_Following,Line Straight,0.0,0.061,1.571,0.061
1.02,Line_Following,Line Straight,0.0,0.063,1.571,0.063
1.06,Line_Following,Line Straight,0.0,0.065,1.571,0.065
1.09,Line_Following,Line Straight,0.0,0.067,1.571,0.067
1.12,Line_Following,Line Straight,0.0,0.069,1.571,0.069
1.15,Line_Following,Line Straight,0.0,0.071,1.571,0.071
1.18,Line_Following,Line Straight,0.0,0.073,1.571,0.073
1.22,Line_Following,Line Straight,0.0,0.075,1.571,0.075
1.25,Line_Following,Line Straight,0.0,0.077,1.571,0.077
1.28,Line_Following,Line Straight,0.0,0.079,1.571,0.079
1.31,Line_Following,Line Straight,0.0,0.081,1.571,0.081
1.34,Line_Following,Line Straight,0.0,0.083,1.571,0.083
1.38,Line_Following,Line Straight,0.0,0.085,1.571,0.085
1.41,Line_Following,Line Straight,0.0,0.087,1.571,0.087
1.44,Line_Following,Line Straight,0.0,0.089,1.571,0.089
1.47,Line_Following,Line Straight,0.0,0.091,1.571,0.091
1.5,Line_Following,Line Straight,0.0,0.092,1.571,0.092
1.54,Line_Following,Line Straight,0.0,0.094,1.571,0.094
1.57,Line_Following,Line Straight,0.0,0.096,1.571,0.096
1.6,Line_Following,Line Straight,0.0,0.098,1.571,0.098
1.63,Line_Following,Line Straight,0.0,0.1,1.571,0.1
1.66,Line_Following,Line Straight,0.0,0.102,1.571,0.102
1.7,Line_Following,Line Straight,0.0,0.104,1.571,0.104
1.73,Line_Following,Line Straight,0.0,0.106,1.571,0.106
1.76,Line_Following,Line Straight,0.0,0.108,1.571,0.108
1.79,Line_Following,Line Straight,0.0,0.11,1.571,0.11
1.82,Line_Following,Line Straight,0.0,0.112,1.571,0.112
1.86,Line_Following,Line Straight,0.0,0.114,1.571,0.114
1.89,Line_Following,Line Straight,0.0,0.116,1.571,0.116
1.92,Line_Following,Line Straight,0.0,0.118,1.571,0.118
1.95,Line_Following,Line Straight,0.0,0.12,1.571,0.12
1.98,Line_Following,Line Straight,0.0,0.122,1.571,0.122
2.02,Line_Following,Line Straight,0.0,0.124,1.571,0.124
2.05,Line_Following,Line Straight,0.0,0.126,1.571,0.126
2.08,Line_Following,Line Straight,0.0,0.128,1.571,0.128
2.11,Line_Following,Line Straight,0.0,0.13,1.571,0.13
2.14,Line_Following,Line Straight,0.0,0.132,1.571,0.132
2.18,Line_Following,Line Straight,0.0,0.134,1.571,0.134
2.21,Line_Following,Line Straight,0.0,0.136,1.571,0.136
2.24,Line_Following,Line Straight,0.0,0.138,1.571,0.138
2.27,Line_Following,Line Straight,0.0,0.14,1.571,0.14
2.3,Line_Following,Line Straight,0.0,0.142,1.571,0.142
2.34,Line_Following,Line Straight,0.0,0.144,1.571,0.144
2.37,Line_Following,Line Straight,0.0,0.146,1.571,0.146
2.4,Line_Following,Line Straight,0.0,0.148,1.571,0.148
2.43,Line_Following,Line Straight,0.0,0.15,1.571,0.15
