time,state,x,y,theta,wp_x,wp_y,distance
0.064000,MOVE_TO_GOAL,0.004120,0.000000,0.000000,0.350000,0.000000,0.350000
0.096000,MOVE_TO_GOAL,0.004120,0.000000,0.000000,0.350000,0.000000,0.345880
0.128000,MOVE_TO_GOAL,0.006051,0.000000,0.000000,0.350000,0.000000,0.345880
0.160000,MOVE_TO_GOAL,0.008111,0.000000,0.000000,0.350000,0.000000,0.343949
0.192000,MOVE_TO_GOAL,0.010042,0.000000,0.000000,0.350000,0.000000,0.341889
0.224000,MOVE_TO_GOAL,0.011973,0.000000,0.000000,0.350000,0.000000,0.339958
0.256000,MOVE_TO_GOAL,0.013904,0.000000,0.000000,0.350000,0.000000,0.338027
0.288000,MOVE_TO_GOAL,0.015964,0.000000,0.000000,0.350000,0.000000,0.336096
0.320000,MOVE_TO_GOAL,0.017895,0.000000,0.000000,0.350000,0.000000,0.334036
0.352000,MOVE_TO_GOAL,0.019826,0.000000,0.000000,0.350000,0.000000,0.332105
0.384000,MOVE_TO_GOAL,0.021757,0.000000,0.000000,0.350000,0.000000,0.330174
0.416000,MOVE_TO_GOAL,0.023817,0.000000,0.000000,0.350000,0.000000,0.328243
0.448000,MOVE_TO_GOAL,0.025748,0.000000,0.000000,0.350000,0.000000,0.326183
0.480000,MOVE_TO_GOAL,0.027679,0.000000,0.000000,0.350000,0.000000,0.324252
0.512000,MOVE_TO_GOAL,0.029739,0.000000,0.000000,0.350000,0.000000,0.322321
0.544000,MOVE_TO_GOAL,0.031670,0.000000,0.000000,0.350000,0.000000,0.320261
0.576000,MOVE_TO_GOAL,0.033601,0.000000,0.000000,0.350000,0.000000,0.318330
0.608000,MOVE_TO_GOAL,0.035532,0.000000,0.000000,0.350000,0.000000,0.316399
0.640000,MOVE_TO_GOAL,0.037592,0.000000,0.000000,0.350000,0.000000,0.314468
0.672000,MOVE_TO_GOAL,0.039523,0.000000,0.000000,0.350000,0.000000,0.312408
0.704000,MOVE_TO_GOAL,0.041454,0.000000,0.000000,0.350000,0.000000,0.310477
0.736000,MOVE_TO_GOAL,0.043514,0.000000,0.000000,0.350000,0.000000,0.308546
0.768000,MOVE_TO_GOAL,0.045445,0.000000,0.000000,0.350000,0.000000,0.306486
0.800000,MOVE_TO_GOAL,0.047376,0.000000,0.000000,0.350000,0.000000,0.304555
0.832000,MOVE_TO_GOAL,0.049307,0.000000,0.000000,0.350000,0.000000,0.302624
0.864000,MOVE_TO_GOAL,0.051367,0.000000,0.000000,0.350000,0.000000,0.300693
0.896000,MOVE_TO_GOAL,0.053298,0.000000,0.000000,0.350000,0.000000,0.298633
0.928000,MOVE_TO_GOAL,0.055229,0.000000,0.000000,0.350000,0.000000,0.296702
0.960000,MOVE_TO_GOAL,0.057289,0.000000,0.000000,0.350000,0.000000,0.294771
0.992000,MOVE_TO_GOAL,0.059220,0.000000,0.000000,0.350000,0.000000,0.292711
1.024000,MOVE_TO_GOAL,0.061151,0.000000,0.000000,0.350000,0.000000,0.290780
