time,ds0,ds1,ds2,ds3,ds4,ds5,ds6,ds7,ls0,ls1,ls2,ls3,ls4,ls5,ls6,ls7,ds_f0,ds_f1,ds_f2,ds_f3,ds_f4,ds_f5,ds_f6,ds_f7,ls_f0,ls_f1,ls_f2,ls_f3,ls_f4,ls_f5,ls_f6,ls_f7,phil,phir
0.032,0.199898637,0.218949135,0.330083775,0.358952496,0.192588631,0.209653176,0.224464693,0.219749452,0.433557646,0,0,1.336252709,2.124317087,1.50059381,1.811408043,2.266134268,0.039979727,0.043789827,0.066016755,0.071790499,0.038517726,0.041930635,0.044892939,0.04394989,0.086711529,0,0,0.267250542,0.424863417,0.300118762,0.362281609,0.453226854,3.443440544,3.095938065
0.064,0.218704217,0.209115091,0.321416264,0.345099454,0.213253593,0.219003383,0.206619255,0.204250468,0.356241883,0,0,1.393809416,2.117211113,1.469248949,1.80320091,2.294759121,0.083720571,0.085612845,0.130300008,0.14081039,0.081168445,0.085731312,0.08621679,0.084799984,0.157959906,0,0,0.546012425,0.84830564,0.593968552,0.722921791,0.912178678,3.752545254,3.04121182
0.096,0.228467054,0.216198108,0.315926655,0.326863486,0.208912714,0.201608298,0.234959178,0.203913207,0.427695314,0,0,1.342411182,2.063828578,1.495337833,1.834314081,2.237304295,0.129413982,0.128852467,0.193485339,0.206183087,0.122950987,0.126052972,0.133208625,0.125582625,0.243498969,0,0,0.814494661,1.261071356,0.893036118,1.089784607,1.359639537,4.047887749,2.998654746
0.128,0.210555178,0.228461529,0.331114267,0.301236806,0.193277354,0.212394132,0.212116553,0.204075839,0.338672151,0,0,1.427815021,2.095726916,1.429141866,1.808965201,2.336963608,0.171525017,0.174544772,0.259708192,0.266430448,0.161606458,0.168531798,0.175631936,0.166397793,0.311233399,0,0,1.100057666,1.680216739,1.178864491,1.451577647,1.827032258,4.361254276,2.940671872
0.16,0.220247667,0.216870782,0.289956402,0.281119143,0.205148236,0.202974686,0.224828646,0.21599496,0.247059981,0,0,1.527848548,2.085625972,1.502060014,1.841538667,2.293006976,0.215574551,0.217918929,0.317699473,0.322654277,0.202636105,0.209126735,0.220597665,0.209596785,0.360645395,0,0,1.405627375,2.097341933,1.479276494,1.819885381,2.285633653,4.674440701,2.86132421
0.192,0.213827301,0.21797693,0.30609666,0.24058375,0.230749732,0.206053603,0.208658254,0.209011499,0.182188534,0,0,1.590440232,2.069417489,1.48590234,1.856179081,2.386622941,0.218360283,0.217724488,0.31290205,0.298980528,0.210268326,0.20840682,0.217436377,0.207449195,0.310371572,0,0,1.45646488,2.086362014,1.4763382,1.828839588,2.309731388,4.700744567,2.81707918
0.224,0.209183186,0.21565266,0.272702385,0.192983223,0.213139606,0.227204306,0.212193688,0.215055967,0.114329536,0,0,1.704648923,2.030794086,1.505703238,1.898529007,2.386346594,0.216456077,0.219032002,0.303159274,0.268557281,0.210245528,0.210047005,0.218551264,0.209610294,0.261989103,0,0,1.518632781,2.069078608,1.483629058,1.847905208,2.328048883,4.72940153,2.76378054
0.256,0.211982533,0.212493155,0.29214344,0.194898125,0.208204256,0.21441304,0.223943706,0.20523545,0.04548349,0,0,1.746384886,1.993256369,1.471208958,1.903886373,2.306874572,0.213159173,0.218291011,0.298402631,0.242164209,0.210103837,0.212607953,0.21634817,0.209874743,0.185546738,0,0,1.599427522,2.054964166,1.478803283,1.861819666,2.341962938,4.752110123,2.686715872
0.288,0.192198569,0.207579176,0.288621912,0.211560238,0.207199969,0.219208477,0.222430436,0.211470204,0,0,0,1.831496255,1.992277935,1.50497188,1.930145665,2.271058581,0.209487851,0.214114541,0.28990416,0.224228896,0.21288836,0.213970822,0.218410946,0.211353616,0.117812308,0,0,1.680163769,2.03427437,1.493969286,1.886055759,2.328781932,4.755275381,2.614076924
0.32,0.212532793,0.216175464,0.280498049,0.216448569,0.189355303,0.207334391,0.207581338,0.203020412,0,0,0,1.966572678,1.958355175,1.512995267,1.949408094,2.223899289,0.207944876,0.213975477,0.288012489,0.211294781,0.209729773,0.214842764,0.214961485,0.208758706,0.068400312,0,0,1.767908595,2.008820211,1.496156336,1.907629644,2.314960395,4.745027553,2.569837357
0.352,0.213477419,0.227626458,0.262748149,0.195384139,0.219570698,0.182099158,0.202226814,0.20459355,0,0,0,2.062321848,1.939747949,1.503209334,1.969234081,2.131990894,0.2078749,0.215905383,0.279342787,0.202254859,0.207493966,0.210051875,0.213675197,0.207875116,0.031962605,0,0,1.862284918,1.982886303,1.499617735,1.930240644,2.264033986,4.700910916,2.540360417
0.384,0.199688018,0.222200018,0.259093756,0.212771131,0.206945215,0.220029323,0.209930917,0.224107133,0,0,0,2.18026088,1.921140799,1.497883014,1.978512885,1.996310018,0.205975866,0.217214854,0.276621061,0.206212441,0.206255088,0.208616878,0.213222642,0.20968535,0.009096698,0,0,1.957407309,1.960955645,1.49805369,1.94623742,2.186026671,4.626214889,2.517571828
0.416,0.19197936,0.224908316,0.26977428,0.229785243,0.208272412,0.202661903,0.224951395,0.210401741,0,0,0,2.25794484,1.883153188,1.533720443,2.029069407,1.988384662,0.201975232,0.219697887,0.272147229,0.213189864,0.20626872,0.206266651,0.21342418,0.210718608,0,0,0,2.0597193,1.938935009,1.510555987,1.971274027,2.122328689,4.568508341,2.509590561
0.448,0.222947315,0.210302522,0.275987435,0.207657586,0.204669831,0.215988062,0.202586944,0.201570513,0,0,0,2.376516604,1.871127053,1.515249033,2.061680955,1.855805037,0.208124981,0.220242556,0.269620334,0.212409334,0.205762692,0.205622568,0.209455482,0.20873867,0,0,0,2.16872337,1.914704833,1.512611418,1.997581085,2.03927798,4.481290109,2.516183281
0.48,0.214130632,0.196998955,0.258340745,0.203553174,0.209112338,0.217696228,0.227226755,0.243855164,0,0,0,2.51781099,1.84940816,1.576050469,2.109792098,1.832166416,0.208444549,0.216407254,0.265188873,0.209830255,0.209714099,0.207694935,0.213384565,0.21690562,0,0,0,2.278971032,1.89291543,1.525222459,2.029657885,1.960931405,4.41089073,2.50201488
0.512,0.219984855,0.214962473,0.267269216,0.218149464,0.203523906,0.206767195,0.212370333,0.212537018,0,0,0,2.586491748,1.842902444,1.517180231,2.091276856,1.737370462,0.209746036,0.213874457,0.266093086,0.21438332,0.206504741,0.212628542,0.215413269,0.218494314,0,0,0,2.383805012,1.873546329,1.528016638,2.05406644,1.882007319,4.332293739,2.493463875
0.544,0.191800749,0.203521183,0.267570308,0.212488117,0.221413985,0.221473798,0.223672102,0.196891393,0,0,0,2.559501103,1.812433919,1.549364638,2.128073905,1.644028005,0.208168582,0.21013869,0.267788397,0.214326717,0.209398495,0.212917437,0.218161506,0.213051166,0,0,0,2.459653057,1.851804953,1.538312963,2.083978644,1.811550916,4.265455247,2.495869891
0.576,0.209454429,0.21847683,0.265607907,0.217230848,0.226306969,0.200603723,0.220466963,0.213854424,0,0,0,2.59949576,1.789542412,1.523536745,2.178221517,1.567121465,0.211663596,0.208852393,0.266955122,0.211815838,0.213005406,0.212505801,0.217264619,0.213741702,0,0,0,2.527963241,1.833082798,1.536276223,2.113809066,1.727298277,4.179827166,2.496487877
0.608,0.216294613,0.213420236,0.23583375,0.22119333,0.212711388,0.194478652,0.225662843,0.197747686,0,0,0,2.566872124,1.809578747,1.559192085,2.187641508,1.466023025,0.210333056,0.209475936,0.258924385,0.214522987,0.214613717,0.208203919,0.221879799,0.212977137,0,0,0,2.566034345,1.820773137,1.545064834,2.139001177,1.649341875,4.110608498,2.496939145
0.64,0.218023428,0.201650548,0.240938833,0.204890499,0.21292037,0.237348918,0.215662367,0.212622099,0,0,0,2.53641867,1.783436463,1.570569973,2.247276051,1.386399515,0.211111615,0.210406254,0.255444003,0.214790452,0.215375323,0.212134457,0.219566921,0.206730524,0,0,0,2.569755881,1.807578797,1.543968734,2.166497967,1.560188494,4.023226623,2.501568097
0.672,0.190351881,0.210212955,0.235062539,0.217272283,0.194765036,0.238763672,0.219638706,0.191910348,0,0,0,2.614678989,1.75264358,1.588407807,2.230982508,1.309397736,0.20518502,0.20945635,0.249002667,0.214615015,0.213623549,0.218533752,0.221020596,0.20260519,0,0,0,2.575393329,1.789527024,1.558214249,2.194439098,1.474593949,3.950949912,2.497840462
0.704,0.220714357,0.216060237,0.267140084,0.211472985,0.211280466,0.218970538,0.210560852,0.21534044,0,0,0,2.577554609,1.718946115,1.625810291,2.252355659,1.257542281,0.210967741,0.211964161,0.248916623,0.214411989,0.211596846,0.2180331,0.218398346,0.206294999,0,0,0,2.57900403,1.770829463,1.57350338,2.219295449,1.397296805,3.865448279,2.497273554
0.736,0.214603956,0.215601441,0.223634547,0.198645403,0.205127107,0.176121043,0.220479424,0.210543431,0,0,0,2.572108205,1.734920946,1.620557521,2.280324669,1.178227509,0.211997647,0.211389083,0.24052195,0.2106949,0.207360873,0.213136564,0.218400838,0.205632801,0,0,0,2.573526519,1.75990517,1.592907535,2.239716079,1.319518013,3.795609333,2.502829796
0.768,0.204528834,0.213801352,0.249594402,0.195412421,0.217254711,0.209094592,0.200027786,0.203139253,0,0,0,2.592183192,1.724884763,1.617067025,2.292215071,1.119645382,0.209644491,0.211465307,0.243274081,0.205538718,0.208269538,0.216059752,0.213273827,0.206711114,0,0,0,2.578588733,1.742966374,1.604482523,2.260630792,1.250242485,3.725858606,2.503955306
0.8,0.207222671,0.188474595,0.244212785,0.222813971,0.217753186,0.216063833,0.228741233,0.220501744,0,0,0,2.557224708,1.703512753,1.627905726,2.288934693,1.059827587,0.20748434,0.208830116,0.243928871,0.209123413,0.209236102,0.211802735,0.2158896,0.208287043,0,0,0,2.582749941,1.726981631,1.615949674,2.26896252,1.184928099,3.664684772,2.504020621
0.832,0.224115469,0.221248963,0.25435006,0.214494083,0.227257491,0.21678701,0.229834456,0.204346733,0,0,0,2.598084781,1.716148506,1.676169886,2.327097744,0.99746433,0.214237057,0.211037318,0.247786376,0.208567773,0.215734593,0.207407403,0.21792875,0.21077432,0,0,0,2.579431099,1.719682617,1.63350209,2.288185567,1.122541418,3.589480667,2.503889526
0.864,0.220447677,0.217356406,0.245952388,0.176769556,0.210449687,0.221861329,0.236273786,0.21072186,0,0,0,2.543353941,1.693278266,1.668322632,2.294918741,0.972919737,0.214183721,0.211296551,0.243548837,0.201627087,0.215568437,0.207985561,0.223071337,0.209850604,0,0,0,2.572590965,1.714549047,1.642004558,2.296698183,1.065616909,3.5365878,2.499092497
0.896,0.191240496,0.196013861,0.250712689,0.207486803,0.218358428,0.19852275,0.213138424,0.210493285,0,0,0,2.594262452,1.710416735,1.672928073,2.357804104,0.901675561,0.209511029,0.207379035,0.248964465,0.203395367,0.218214701,0.212465903,0.221603137,0.209840575,0,0,0,2.577021815,1.709648205,1.652478668,2.31219407,1.010306519,3.48445199,2.496090385
0.928,0.215830745,0.222184234,0.244822961,0.251926164,0.208068491,0.208256658,0.212613429,0.205898926,0,0,0,2.590512006,1.684645384,1.678360291,2.331847505,0.867055821,0.211771412,0.209055612,0.248010177,0.214698115,0.216377457,0.212298316,0.224120266,0.21039251,0,0,0,2.576687578,1.701600329,1.664737321,2.320120557,0.959788607,3.430951407,2.493188908
0.96,0.236843832,0.222776704,0.232039199,0.216752578,0.224801658,0.227394828,0.221571925,0.225958098,0,0,0,2.55453085,1.667913009,1.685923307,2.34677884,0.836452506,0.217695644,0.215916033,0.24557546,0.213485837,0.217787151,0.214564515,0.222686404,0.21148378,0,0,0,2.576148806,1.69448038,1.676340838,2.331689387,0.915113591,3.375926454,2.491265301
0.992,0.194321512,0.209846432,0.246073838,0.20409936,0.214645234,0.212807749,0.208572691,0.234298405,0,0,0,2.600696323,1.694467247,1.727406661,2.410848704,0.798882637,0.211736852,0.213635527,0.243920215,0.211406892,0.2152647,0.213768663,0.218434051,0.217474115,0,0,0,2.576671114,1.690144128,1.686588193,2.348439579,0.875397252,3.346104658,2.490323171
1.024,0.190852268,0.194157826,0.268217495,0.203683147,0.204344463,0.195829665,0.204469542,0.21888942,0,0,0,2.538895653,1.669688614,1.700725961,2.332967069,0.733812363,0.205817771,0.208995811,0.248373237,0.21678961,0.214043655,0.20856233,0.212073202,0.219107627,0,0,0,2.575779457,1.685426198,1.693068858,2.356049244,0.827575778,3.304388959,2.500256841
1.056,0.209448195,0.216747565,0.258112362,0.226876841,0.216318051,0.214197202,0.217813367,0.219687599,0,0,0,2.49108413,1.679919221,1.729199948,2.417841968,0.714353855,0.209459311,0.213142552,0.249853171,0.220667618,0.213635579,0.21169722,0.213008191,0.22094649,0,0,0,2.555143792,1.679326695,1.704323234,2.368056817,0.790111436,3.257656403,2.494348099
1.088,0.22139405,0.216567641,0.265847783,0.20942773,0.214087018,0.199709947,0.208897784,0.237482089,0,0,0,2.540544373,1.650818671,1.711675745,2.4078551,0.677991118,0.210571971,0.212019234,0.254058136,0.212167931,0.214839285,0.209987878,0.212265062,0.227263122,0,0,0,2.545150266,1.672561352,1.710986324,2.383258336,0.752298496,3.215649155,2.490483938
1.12,0.209513095,0.221180995,0.264303954,0.215079813,0.204523064,0.213381294,0.221782605,0.219884597,0,0,0,2.531924034,1.629566704,1.727948248,2.38518739,0.66127047,0.205105824,0.211700092,0.260511086,0.211833378,0.210783566,0.207185171,0.212307198,0.226048422,0,0,0,2.540628903,1.664892091,1.719391313,2.390940046,0.717262088,3.179945086,2.494459209
